Year,Month,Cover Model
1968,March,Sharon Kristie
1968,April,Dolly Read
1968,May,Angela Dorian
1968,June,Jennie Wallace
1968,July,Lynn Hahn
1968,August,Aino Korva
1968,September,Erika Toth
1968,October,Dale Fahey
1968,November,"Vol. 15, No. 11"
1968,December,Cynthia Myers
1969,January,"Vol. 16, No. 1"
1969,February,Nancy Chamberlain
1969,March,Penny James
1969,April,Sharon Kristie
1969,May,Paulette Lindberg
1969,June,Connie Kreski
1969,July,Barbara Klein (Barbi Benton)
1969,August,Penny James
1969,September,Shay Knuth
1969,October,Paulette Lindberg
1969,November,"Vol. 16, No. 11"
1969,December,Jorja Beck
1970,January,"Jean Bell, Lorrie Menconi, Kathy MacDonald, Shay Knuth, Leslie Bianchini"
1970,February,Norma Bauer
1970,March,Barbi Benton
1970,April,Pamela Nystul
1970,May,Phyllis Babila
1970,June,Claudia Jennings
1970,July,Janet Wolf
1970,August,Linda Donnelly
1970,September,Jackie Ray
1970,October,"Mary Collinson, Madeleine Collinson"
1970,November,Crystal Smith
1970,December,Shay Knuth
1971,January,"Mary Collinson, Madeleine Collinson, Jennifer Liano, Sharon Clark, Debbie Ellison"
1971,February,Jayne Smith
1971,March,Peggy Smith
1971,April,Simone Hammerstrand
1971,May,Diane Davies
1971,June,Sharon Clark
1971,July,Kay Sutton York
1971,August,Christy Miller
1971,September,Crystal Smith
1971,October,Darine Stern
1971,November,Debbie Hanlon
1971,December,"Vol. 18, No. 12"
1972,January,"Willy Rey, Liv Lindeland, Crystal Smith, Claire Rambeau"
1972,February,Barbara Carrera
1972,March,"Vol. 19, No. 3"
1972,April,Rosie Holotik
1972,May,Barbi Benton
1972,June,Liv Lindeland
1972,July,"Vol. 19, No. 7"
1972,August,Carol Vitale
1972,September,Sandra Jozefski
1972,October,Lynn Myers
1972,November,Pamela Rawlings
1972,December,Bobbie Pollak
1973,January,"Linda Summers, Lenna Sjööblom, Marilyn Cole, Deanna Baker, Ellen Michaels"
1973,February,Jeanette Larson
1973,March,Mercy Rooney
1973,April,Lenna Sjööblom
1973,May,Bernie Becker
1973,June,Marilyn Cole
1973,July,Karen Christy
1973,August,Cyndi Wood
1973,September,Ariel Jones
1973,October,Sheila Ryan
1973,November,Anne Randall
1973,December,Bonita Lou Rossi
1974,January,20 Anniversary Issue
1974,February,Karen Christy
1974,March,Deborah Shelton
1974,April,Carron June Sliger
1974,May,Marsha Kay
1974,June,Cyndi Wood
1974,July,Christine Maddox
1974,August,Lynnda Kimball
1974,September,Zoya
1974,October,Suzann Sherry
1974,November,Claudia Jennings
1974,December,Robyn Douglass
1975,January,"Ester Cordet, Marilyn Lange, Bebe Buell, Francine Parks, Nancy Cameron, Kristine Hanson"
1975,February,Laura Misch
1975,March,Eva Maria
1975,April,Cyndi Wood
1975,May,Carol Christie
1975,June,Marilyn Lange
1975,July,Lynn Schiller
1975,August,Lillian Müller
1975,September,Amy Arnold
1975,October,"Agneta Eckemyr, Zoe Z."
