year,issue_period,display_label,cover_model,playmate_name,interview_subject,notable_cover_names,source_confidence
1960,November,November 1960,June Wilkinson,Joni Mattis,,,verified
1960,December,December 1960,Teddi Smith,Carol Eden,,,verified
1961,January,January 1961,"Teddi Smith, Joni Mattis, Stella Stevens, Susie Scott, Ginger Young, Delores Wells",Connie Cooper,,,verified
1961,February,February 1961,Barbara Ann Lawford,Barbara Ann Lawford,,,verified
1961,March,March 1961,"Vol. 8, No. 3",Tonya Crews,,,verified
1961,April,April 1961,"Vol. 8, No. 4",Nancy Nielsen,,,verified
1961,May,May 1961,Judy Newton,Susan Kelly,,,verified
1961,June,June 1961,Heidi Becker,Heidi Becker,,,verified
1961,July,July 1961,Susie Scott,Sheralee Conners,,,verified
1961,August,August 1961,"Vol. 8, No. 8",Karen Thompson,,,verified
1961,September,September 1961,Barbara Ann Lawford,Christa Speck,,,verified
1961,October,October 1961,"Vol. 8, No. 10",Jean Cannon,,,verified
1961,November,November 1961,"Vol. 8, No. 11",Dianne Danford,,,verified
1961,December,December 1961,Delores Wells,Lynn Karrol,,,verified
1962,January,January 1962,"Heidi Becker, Susan Kelly, Connie Cooper, Christa Speck, Karen Thompson",Merle Pertile,,,verified
1962,February,February 1962,Cynthia Maddox,Kari Knudsen,,,verified
1962,March,March 1962,"Vol. 9, No. 3",Pamela Anne Gordon,,,verified
1962,April,April 1962,Roberta Lane,Roberta Lane,,,verified
1962,May,May 1962,"Vol. 9, No. 5",Marya Carter,,,verified
1962,June,June 1962,"Vol. 9, No. 6",Merissa Mathes,,,verified
1962,July,July 1962,"Vol. 9, No. 7",Unne Terjesen,,,verified
1962,August,August 1962,Darlene Higginson,Jan Roberts,,,verified
1962,September,September 1962,"Vol. 9, No. 9",Mickey Winters,Miles Davis,,verified
1962,October,October 1962,Laura Young,Laura Young,Peter Sellers,,verified
1962,November,November 1962,"Vol. 9, No. 11",Avis Kimble,,,verified
1962,December,December 1962,Sheralee Conners,June Cochran,Jackie Gleason,,verified
1963,January,January 1963,"Merle Pertile, Avis Kimble, Laura Young, Kari Knudsen, Marissa Mathes",Judi Monterey,,,verified
1963,February,February 1963,Cheryl Lampley,Toni Ann Thomas,Frank Sinatra,,verified
1963,March,March 1963,Cynthia Maddox,Adrienne Moreau,Bertrand Russell,,verified
1963,April,April 1963,Kelly Collins,Sandra Settani,Helen Gurley Brown,,verified
1963,May,May 1963,"Vol. 10, No. 5",Sharon Cintron,Malcolm X,,verified
1963,June,June 1963,Jayne Mansfield,Connie Mason,Billy Wilder,,verified
1963,July,July 1963,Judy Newton,Carrie Enwright,,,verified
1963,August,August 1963,Nancy Perry,Phyllis Sherwood,,,verified
1963,September,September 1963,Joey Thorpe,Victoria Valentino,Richard Burton,,verified
1963,October,October 1963,Teddi Smith,Christine Williams,Jawaharlal Nehru,,verified
1963,November,November 1963,Sharon Rogers,Terre Tucker,James Hoffa,,verified
1963,December,December 1963,"Vol. 10, No. 12",Donna Michelle,Albert Schweitzer,,verified
1964,January,January 1964,"Connie Mason, Phyllis Sherwood, Terre Tucker",Sharon Rogers,Vladimir Nabokov,,verified
1964,February,February 1964,Cynthia Maddox,Nancy Jo Hooper,,,verified
1964,March,March 1964,Olga Schoberová,Nancy Scott,Ayn Rand,,verified
1964,April,April 1964,"Peter Sellers, Karen Lynn",Ashlyn Martin,Jean Genet,,verified
1964,May,May 1964,Donna Michelle,Terri Kimball,,,verified
1964,June,June 1964,Mamie van Doren,Lori Winston,Ingmar Bergman,,verified
1964,July,July 1964,Cynthia Maddox,Melba Ogle,Salvador Dalí,,verified
1964,August,August 1964,Barbara Reeves,China Lee,Dick Gregory,,verified
1964,September,September 1964,Heather Hewitt,Astrid Schulz,Henry Miller,,verified
1964,October,October 1964,Judy Newton,Rosemarie Hillcrest,Cassius Clay,,verified
1964,November,November 1964,Maria Hoff,Kai Brendlinger,George Wallace,,verified
