year,issue_period,display_label,cover_model,playmate_name,interview_subject,notable_cover_names,source_confidence
1981,September,September 1981,Bo Derek,Susan Smith,James Michener,,verified
1981,October,October 1981,Cathy St. George,Kelly Tough,Donald Sutherland,,verified
1981,November,November 1981,Teri Peterson,Shannon Tweed,Oriana Fallaci,,verified
1981,December,December 1981,Bernadette Peters,Patricia Farinelli,Henry Fonda,John Kenneth Galbraith,verified
1982,January,January 1982,Natalie Levy Bencheton,Kimberly McArthur,George Carlin,John Matuszak,verified
1982,February,February 1982,Kimberly McArthur,Anne-Marie Fox,Lech Walesa,Karen Allen,verified
1982,March,March 1982,Barbara Carrera,Karen Witter,Patricia Hearst,Louis Rukeyser,verified
1982,April,April 1982,Mariel Hemingway,Linda Rhys Vaughn,Edward Koch,James Woods,verified
1982,May,May 1982,Vickie Reigle,Kym Malin,Billy Joel,SCTV,verified
1982,June,June 1982,Shannon Tweed,Lourdes Estores,Sugar Ray Leonard,Brandon Tartikoff,verified
1982,July,July 1982,Lynda Wiesmeier,Lynda Wiesmeier,Bette Davis,Stevie Nicks,verified
1982,August,August 1982,Vicki McCarty,Cathy St. George,Akio Morita,Mariette Hartley,verified
1982,September,September 1982,Kymberly Herrin,Connie Brighton,Cheech and Chong,Tom Petty,verified
1982,October,October 1982,Tanya Roberts,Marianne Gravatte,Robin Williams,John Le Boutillier,verified
1982,November,November 1982,Lorraine Michaels,Marlene Janssen,Luciano Pavorotti,Frank and Moon Unit Zappa,verified
1982,December,December 1982,Marcy Hanson,Charlotte Kemp,"Julie Andrews, Blake Edwards",,verified
1983,January,January 1983,"Audrey Landers, Judy Landers",Lonny Chin,Dudley Moore,Herschel Walker,verified
1983,February,February 1983,Kim Basinger,Melinda Mays,Gabriel García Márquez,Yakov Smirnoff,verified
1983,March,March 1983,"Kimberly McArthur, Kelly Tough, Karen Witter",Alana Soares,Sam Donaldson,Arthur Jones,verified
1983,April,April 1983,Carrie Leigh,Christina Ferguson,Paul Newman,Al McGuire,verified
1983,May,May 1983,Nastassja Kinski,Susie Scott Krabacher,Ansel Adams,Charlton Heston,verified
1983,June,June 1983,Marianne Gravatte,Jolanda Egger,Stephen King,Debra Winger,verified
1983,July,July 1983,Ruth Guerri,Ruth Guerri,Earl Weaver,Carrie Fisher,verified
1983,August,August 1983,Sybil Danning,Carina Persson,Ted Turner,Jan Stephenson,verified
1983,September,September 1983,Kymberly Herrin,Barbara Edwards,"The Sandinistas, Daniel Ortega",Randy Newman,verified
1983,October,October 1983,Charlotte Kemp,Tracy Vaccaro,Cast of Hill Street Blues,Joe Piscopo,verified
1983,November,November 1983,Donna Ann,Veronica Gamba,Kenny Rogers,Bubba Smith,verified
1983,December,December 1983,Joan Collins,Terry Nihen,Tom Selleck,,verified
1984,January,January 1984,30th Anniversary Issue,Penny Baker,Dan Rather,,verified
1984,February,February 1984,Kimberly McArthur,Justine Greiner,Paul Simon,Shelley Long,verified
1984,March,March 1984,Susie Scott Krabacher,Dona Speir,Moses Malone,,verified
1984,April,April 1984,Kathy Shower,Lesa Ann Pedriana,Joan Collins,Martin Mull,verified
1984,May,May 1984,"Rita Jenrette, Phillip Anderson",Patty Duffek,Calvin Klein,,verified
1984,June,June 1984,Barbara Edwards,Tricia Lange,Jesse Jackson,Siskel and Ebert,verified
1984,July,July 1984,Bo Derek,Liz Stewart,Walid Jumblatt,Fran Lebowitz,verified
1984,August,August 1984,Terry Moore,Suzi Schott,Bobby Knight,Kurt Russell,verified
1984,September,September 1984,Kimberly Evenson,Kimberly Evenson,Shirley MacLaine,,verified
1984,October,October 1984,Lesa Pedriana,Debi Johnson,David Letterman,Jack LaLanne,verified
1984,November,November 1984,Christie Brinkley,Roberta Vasquez,José Napoleón Duarte,Leigh Steinberg,verified
1984,December,December 1984,Suzanne Somers,Karen Velez,Paul and Linda McCartney,,verified
1985,January,January 1985,Goldie Hawn,Joan Bennett,Goldie Hawn,Diane Lane,verified
1985,February,February 1985,Julie McCullough,Cherie Witter,Steve Jobs,Brian De Palma,verified
1985,March,March 1985,Shannon Tweed,Donna Smith,Cast of 60 Minutes,Bob Giraldi,verified
1985,April,April 1985,"Natalie Smith, Donna Smith",Cindy Brooks,Wayne Gretzky,Joel Hyatt,verified
1985,May,May 1985,Karen Velez,Kathy Shower,Boy George,"Marvin Hagler, Thomas Hearns",verified
1985,June,June 1985,Roxanne Pulitzer,Devin DeVasquez,Sparky Anderson,Tom Watson,verified
1985,July,July 1985,Tracy Vaccaro,Hope Marie Carlton,Rob Reiner,Jamie Lee Curtis,verified
1985,August,August 1985,Kathy Shower,Cher Butler,Fidel Castro,Ron Howard,verified
1985,September,September 1985,Madonna,Venice Kong,John Huston,Billy Crystal,verified
1985,October,October 1985,Sherry Arnett,Cynthia Brimhall,John DeLorean,Rosanna Arquette,verified
1985,November,November 1985,Teri Weigel,Pamela Saunders,Sting,"Don Johnson, Philip Michael Thomas",verified
1985,December,December 1985,Barbi Benton,Carol Ficatier,Bill Cosby,Huey Lewis,verified
1986,January,January 1986,"Vol. 33, No. 1",Sherry Arnett,Ruth Westheimer,,verified
1986,February,February 1986,JoAnne Russell,Julie McCullough,Michael Douglas,,verified
1986,March,March 1986,Janet Jones,Kim Morris,Sally Field,,verified
1986,April,April 1986,Ava Fabian,Teri Weigel,Jeffrey MacDonald,,verified
1986,May,May 1986,Vanna White,Christine Richters,Kathleen Turner,,verified
1986,June,June 1986,Donna Edmondson,Rebecca Ferratti,Kareem Abdul-Jabbar,,verified
1986,July,July 1986,Carrie Leigh,Lynne Austin,Arthur C. Clarke,,verified
1986,August,August 1986,Paulina Porizkova,Ava Fabian,Jackie Gleason,,verified
1986,September,September 1986,"Maryam d'Abo, Kim Basinger, Beth Hyatt, Timothy Dalton",Rebekka Armstrong,Carl Bernstein,,verified
1986,October,October 1986,Brandi Brandt,Katherine Hushaw,Phil Collins,,verified
1986,November,November 1986,Jessica Hahn,Donna Edmondson,Joan Rivers,,verified
1986,December,December 1986,Brigitte Nielsen,Laurie Carr,Bryant Gumbel,,verified
1987,January,January 1987,"Vol. 34, No. 1",Luann Lee,Don Johnson,,verified
1987,February,February 1987,,Julie Peterson,Mickey Rourke,Stephanie Beacham,needs-verification
1987,March,March 1987,Janet Jones,Marina Baker,Lionel Richie,,verified
1987,April,April 1987,Ava Fabian,Anna Clark,Louis Rukeyser,,verified
1987,May,May 1987,Vanna White,Kymberly Paige,Prince Norodom Sihanouk,,verified
1987,June,June 1987,Donna Edmondson,Sandy Greenberg,Whoopi Goldberg,,verified
1987,July,July 1987,Sandy Greenberg,Carmen Berg,Wade Boggs,,verified
1987,August,August 1987,Paulina Porizkova,Sharry Konopski,Imelda and Ferdinand Marcos,,verified
1987,September,September 1987,Maryam d'Abo,Gwen Hajek,John Sculley,,verified
1987,October,October 1987,Brandi Brandt,Brandi Brandt,General Richard Secord,,verified
1987,November,November 1987,Jessica Hahn,Pamela Stein,Daniel Ortega,,verified
1987,December,December 1987,Jessica Hahn,India Allen,Gore Vidal,,verified
1988,January,January 1988,,Kimberley Conrad,Arnold Schwarzenegger,,verified
1988,February,February 1988,Sandy Greenberg,Kari Kennell,Oliver Stone,,verified
1988,March,March 1988,,Susie Owens,Billy Crystal,,needs-verification
1988,April,April 1988,,Eloise Broady,Tom Clancy,,needs-verification
1988,May,May 1988,,Diana Lee,Don King,,needs-verification
1988,June,June 1988,India Allen,Emily Arth,Chevy Chase,,verified
1988,July,July 1988,Cindy Crawford,Terri Lynn Doss,Paul Hogan,,verified
1988,August,August 1988,Kimberley Conrad,Helle Michaelsen,Harvey Fierstein,,verified
1988,September,September 1988,Jessica Hahn,Laura Richmond,Yasser Arafat,,verified
1988,October,October 1988,,Shannon Long,Roger Craig,,needs-verification
1988,November,November 1988,,Pia Reyes,Bruce Willis,,needs-verification
1988,December,December 1988,Kata Kärkkäinen,Kata Kärkkäinen,Cher,,verified
1989,January,January 1989,35th Anniversary Issue,Fawna MacLaren,Robert De Niro,,verified
1989,February,February 1989,Michele Smith,Simone Eden,Bob Woodward,,verified
1989,March,March 1989,LaToya Jackson,Laurie Wood,Tom Hanks,,verified
1989,April,April 1989,Erika Eleniak,Jennifer Jackson,The I.R.A.,,verified
1989,May,May 1989,Natalya Negoda,Monique Noel,Susan Sarandon,,verified
1989,June,June 1989,Kimberley Conrad,Tawnni Cable,Edward James Olmos,,verified
1989,July,July 1989,Shelly Jamison,Erika Eleniak,Barry Diller,,verified
1989,August,August 1989,Brandi Brandt,Gianna Amore,John Cougar Mellencamp,,verified
1989,September,September 1989,Karin and Mirjam van Breeschooten,Karin van Breeschooten & Mirjam van Breeschooten,Keith Hernandez,,verified
1989,October,October 1989,Pamela Anderson,Karen Foster,Keith Richards,,verified
1989,November,November 1989,Donna Mills,Renee Tenison,Garry Kasparov,,verified
1989,December,December 1989,Candice Bergen,Petra Verkaik,Candice Bergen,,verified
1990,January,January 1990,Joan Severance,Peggy McIntaggart,Tom Cruise,,verified
1990,February,February 1990,Bogna,Pamela Anderson,Eddie Murphy,,verified
1990,March,March 1990,Donald Trump & Brandi Brandt,Deborah Driggs,Donald Trump,,verified
1990,April,April 1990,Deborah Driggs,Lisa Matthews,Stephen Hawking,,verified
1990,May,May 1990,Margaux Hemingway,Tina Bockrath,Dave Barry,,verified
1990,June,June 1990,Renee Tenison,Bonnie Marino,Cast of thirtysomething,,verified
1990,July,July 1990,Sharon Stone,Jacqueline Sheen,Quincy Jones,,verified
1990,August,August 1990,Erika Eleniak,Melissa Evridge,Larry King,,verified
1990,September,September 1990,Rosanna Arquette,Kerri Kendall,Rickey Henderson,,verified
1990,October,October 1990,Melissa Evridge,Brittany York,Shintaro Ishihara,,verified
1990,November,November 1990,Teri Copley,Lorraine Olivia,Leona Helmsley,,verified
1990,December,December 1990,Sherilyn Fenn,Morgan Fox,Jay Leno,,verified
1991,January,January 1991,Stacy Arthur,Stacy Leigh Arthur,Lee Iacocca,,verified
1991,February,February 1991,Pamela Anderson,Cristy Thom,"Gene Siskel, Roger Ebert",,verified
1991,March,March 1991,Stephanie Seymour,Julie Clarke,M. Scott Peck,,verified
1991,April,April 1991,Julie Clarke,Christina Leardini,Martin Scorsese,,verified
1991,May,May 1991,Shannon and Tracy Tweed,Carrie Jean Yazel,George Steinbrenner,,verified
1991,June,June 1991,Lisa Matthews,Saskia Linssen,Robert MacNeil and Jim Lehrer,,verified
1991,July,July 1991,Samantha Dorman,Wendy Kaye,Spike Lee,,verified
1991,August,August 1991,Caprice,Corinna Harney,Daryl Gates,,verified
1991,September,September 1991,The Barbi Twins,Samantha Dorman,Douglas Wilder,,verified
1991,October,October 1991,Tai Collins,Cheryl Bachman,Robert Maxwell,,verified
1991,November,November 1991,La Toya Jackson,Tonja Christensen,Sean Penn,,verified
1991,December,December 1991,Dian Parkinson,Wendy Hamilton,Carl Sagan,,verified
1992,January,January 1992,Swedish Bikini Team,Suzi Simpson,Robin Williams,,verified
1992,February,February 1992,Rachel Williams,Tanya Beyer,Liz Smith,,verified
1992,March,March 1992,Anna Nicole Smith,Tylyn John,Lorne Michaels,,verified
1992,April,April 1992,Wendy Kaye,Cady Cantrell,Jonathan Kozol,,verified
1992,May,May 1992,Elizabeth Gracen,Anna Nicole Smith,Michael Jordan,,verified
1992,June,June 1992,Corinna Harney,Angela Melini,Ralph Nader,,verified
1992,July,July 1992,Pamela Anderson,Amanda Hope,Michael Keaton,,verified
1992,August,August 1992,Margie Murphy,Ashley Allen,Derek Humphry,,verified
1992,September,September 1992,Sandra Bernhard,Morena Corwin,Betty Friedan,,verified
1992,October,October 1992,Cristy Thom,Tiffany Sloan,Sister Souljah,,verified
1992,November,November 1992,Joan Severance,Stephanie Adams,William Safire,,verified
1992,December,December 1992,Sharon Stone,Barbara Moore,Sharon Stone,,verified
1993,January,January 1993,The Barbi Twins,Echo Johnson,Steve Martin,,verified
1993,February,February 1993,Stephanie Seymour,Jennifer LeRoy,Danny DeVito,,verified
1993,March,March 1993,Mimi Rogers,Kimberly Donley,Anne Rice,,verified
1993,April,April 1993,Tonja Christensen,Nicole Wood,Frank Zappa,,verified
1993,May,May 1993,Dian Parkinson,Elke Jeinsen,Charles Barkley,,verified
1993,June,June 1993,Anna Nicole Smith,Alesha Oreskovich,Roseanne & Tom Arnold,,verified
1993,July,July 1993,Charlotte Lewis,Leisa Sheridan,Barry Bonds,,verified
1993,August,August 1993,"Pamela Anderson, Dan Aykroyd",Jennifer Lavoie,Dan Aykroyd,,verified
1993,September,September 1993,Jennifer Driver,Carrie Westcott,Larry Kramer,,verified
1993,October,October 1993,"Jerry Seinfeld, Echo Johnson, Barbara Moore, Kimberly Donley, Suzi Simpson, Carrie Westcott, Tylyn John, Cheryl Bachman, Alex Philip",Jenny McCarthy,Jerry Seinfeld,,verified
1993,November,November 1993,"Marilise Porto, Lilian Porto, Renata Porto",Julianna Young,Joyce Carol Oates,,verified
1993,December,December 1993,Erika Eleniak,Arlene Baxter,Rush Limbaugh,,verified
1994,January,January 1994,Marilyn Monroe,Anna-Marie Goddard,David Letterman,,verified
1994,February,February 1994,Anna Nicole Smith,Julie Lynn Cialini,Pete Townshend,,verified
1994,March,March 1994,Shannen Doherty,Neriah Davis,Anthony Hopkins,,verified
1994,April,April 1994,Heidi Mark,Becky DelosSantos,Howard Stern,,verified
1994,May,May 1994,Elle Macpherson,Shae Marks,Ron Howard,,verified
1994,June,June 1994,Jenny McCarthy,Elan Carter,Garth Brooks,,verified
1994,July,July 1994,Patti Davis,Traci Adell,Bill Gates,,verified
1994,August,August 1994,Carol Shaya,Maria Checa,Deion Sanders,,verified
1994,September,September 1994,Robin Givens,Kelly Gallagher,David Geffen,,verified
1994,October,October 1994,Jennifer Lavoie,Victoria Zdrok,Jerry Jones,,verified
1994,November,November 1994,Pamela Anderson,Donna Perry,Christian Slater,,verified
1994,December,December 1994,Bo Derek,Elisa Bridges,Garry Shandling,,verified
1995,January,January 1995,Drew Barrymore,Melissa Holliday,Jean-Claude Van Damme,,verified
1995,February,February 1995,Victoria Jacobs,Lisa Marie Scott,Tim Robbins,,verified
1995,March,March 1995,Amber Smith,Stacy Sanches,Vladimir Zhirinovsky,,verified
1995,April,April 1995,Shana Hiatt,Danelle Folta,David Mamet,,verified
1995,May,May 1995,Nancy Sinatra,Cynthia Brown,Camille Paglia,,verified
1995,June,June 1995,Julie Lynn Cialini,Rhonda Adams,Joycelyn Elders,,verified
1995,July,July 1995,Sandra Taylor,Heidi Mark,Mel Gibson,,verified
1995,August,August 1995,Shelly Jones,Rachel Jean Marteen,Berry Gordy,,verified
1995,September,September 1995,Kimberley Conrad Hefner,Donna D'Errico,Cindy Crawford,,verified
1995,October,October 1995,Lisa Boyle,Alicia Rickter,Snoop Dogg,,verified
1995,November,November 1995,Tahnee Welch,Holly Witt,Harvey Keitel,,verified
1995,December,December 1995,Farrah Fawcett,Samantha Torres,George Foreman,,verified
1996,January,January 1996,Pamela Anderson,Victoria Fuller,Johnny Depp,,verified
1996,February,February 1996,"Leslie Nielsen, Sandra Taylor, Catherine Shaw & Traci Adell",Kona Carmack,Bruce Willis,,verified
1996,March,March 1996,Amara Dunae,Priscilla Taylor,John Travolta,,verified
1996,April,April 1996,Samantha Torres,Gillian Bonner,Salman Rushdie,,verified
1996,May,May 1996,Cindy Crawford,Shauna Sand,Ray Bradbury,,verified
1996,June,June 1996,Stacy Sanches,Karin Taylor,Dennis Miller,,verified
1996,July,July 1996,Jenny McCarthy,Angel Boris,James Carville,,verified
1996,August,August 1996,Leeann Tweeden,Jessica Lee,Shaquille O'Neal,,verified
1996,September,September 1996,Uma Thurman,Jennifer Allan,Nicolas Cage,,verified
1996,October,October 1996,Jennifer Allan (alternate Canadian cover: Samantha Fox),Nadine Chanz,Jay Leno,,verified
1996,November,November 1996,Donna D'Errico,Ulrika Ericsson,Liam Neeson,,verified
1996,December,December 1996,Jenny McCarthy,Victoria Silvstedt,Mike Wallace,,verified
1997,January,January 1997,Marilyn Monroe,Jami Ferrell,Whoopi Goldberg,,verified
1997,February,February 1997,"Echo Johnson, Anna-Marie Goddard, Rachel Jeán Marteen, and Jami Ferrell",Kimber West,Lawrence Schiller,,verified
1997,March,March 1997,Faye Resnick,Jennifer Miriam,Clint Eastwood,,verified
1997,April,April 1997,Joey Heatherton,Kelly Monaco,Vincent Bugliosi,,verified
1997,May,May 1997,Claudia Schiffer,Lynn Thomas,Saul Bellow,,verified
1997,June,June 1997,Victoria Silvstedt,Carrie Stevens,Dennis Rodman,,verified
1997,July,July 1997,Farrah Fawcett,Daphnée Lynn Duplaix,Anthony Edwards,,verified
1997,August,August 1997,Nikki Ziering,Kalin Olson,Bill Maher,,verified
1997,September,September 1997,Jenny McCarthy or Pamela Anderson,Nikki Schieler,Christopher Walken,,verified
1997,October,October 1997,Stacy Fuson,Layla Roberts,Tommy Hilfiger,,verified
1997,November,November 1997,Suzen Johnson,Inga Drozdova,Brett Favre,,verified
1997,December,December 1997,Danielle House,Karen McDougal,Robert Downey Jr.,,verified
1998,January,January 1998,Shannon Tweed,Heather Kozar,Grant Hill,,verified
1998,February,February 1998,Daphne Deckers,Julia Schultz,Conan O'Brien,,verified
1998,March,March 1998,Marliece Andrada,Marliece Andrada,Kevin Kline,,verified
1998,April,April 1998,Linda Brava,Holly Joan Hart,Joe Eszterhas,,verified
1998,May,May 1998,Geri Halliwell,Deanna Brooks,Scott Adams,,verified
1998,June,June 1998,"Donna D'Errico, Traci Bingham, Marliece Andrada, Pamela Anderson, Yasmine Bleeth, Carmen Electra, Gena Lee Nolin, Erika Eleniak",Maria Luisa Gil,Paul Reiser,,verified
1998,July,July 1998,Karen McDougal,Lisa Dergan,Jerry Springer,,verified
1998,August,August 1998,Julie Brown,Angela Little,Matt Drudge,,verified
1998,September,September 1998,Lisa Rinna,Vanessa Gleason,Daniel Patrick Moynahan,,verified
1998,October,October 1998,Cindy Crawford,Laura Cover,Geraldo Rivera,,verified
1998,November,November 1998,Julia Schultz,Tiffany Taylor,Mike Tyson,,verified
1998,December,December 1998,Katarina Witt,"Nicole, Erica and Jaclyn Dahm",David Duchovny,,verified
1999,January,January 1999,Marilyn Monroe (photomosaic of Playboy covers),Jaime Bergman,Michael Crichton,,verified
1999,February,February 1999,Pamela Anderson,Stacy Marie Fuson,Emeril Lagasse,,verified
1999,March,March 1999,Gene Simmons and unidentified models,Alexandria Karlsen,Drew Carey,,verified
1999,April,April 1999,Sable,Natalia Sokolova,Nick Nolte,,verified
1999,May,May 1999,Charlize Theron,Tishara Cousino,David Spade,,verified
1999,June,June 1999,Heather Kozar,Kimberly Spicer,Samuel L. Jackson,,verified
1999,July,July 1999,Brooke Richards,Jennifer Rovero,Barney Frank,,verified
1999,August,August 1999,Nell McAndrew,Rebecca Scott,Albert Brooks,,verified
1999,September,September 1999,Sable,Kristi Cline,Chris Rock,,verified
1999,October,October 1999,Jennifer Rovero,Jodi Ann Paterson,Kevin Spacey,,verified
1999,November,November 1999,Mia St. John (alternate Canadian cover: Cara Wakelin),Cara Wakelin,Jesse Ventura,,verified
1999,December,December 1999,Naomi Campbell,Brooke Richards,Ben Affleck,,verified
2000,January,January 2000,Peter Max cover art (illustration),Carol Bernaola & Darlene Bernaola,Hugh Hefner,,verified
2000,February,February 2000,Angie Everhart,Suzanne Stokes,Jeff Bezos,,verified
2000,March,March 2000,Caprice Bourret,Nicole Marie Lenz,Jon Stewart,,verified
2000,April,April 2000,Bijou Phillips,Brande Roderick,"Rowland Evans, Robert Novak",,verified
2000,May,May 2000,"Sandy Bentley, Mandy Bentley",Brooke Berry,Pete Rose,,verified
2000,June,June 2000,Jodi Ann Paterson,Shannon Stewart,"Trey Parker, Matt Stone",,verified
2000,July,July 2000,Jaime Bergman,Neferteri Shepherd,George Clooney,,verified
2000,August,August 2000,Darva Conger,Summer Altice,John Malkovich,,verified
2000,September,September 2000,Shari Belafonte,Kerissa Fare,Jennifer Lopez,,verified
2000,October,October 2000,Lauren Michelle Hill,Nichole Van Croft,Bob Costas,,verified
2000,November,November 2000,Chyna,Buffy Tyler,Ben Stiller,,verified
2000,December,December 2000,Carmen Electra,Cara Mitchell,Drew Barrymore,,verified
2001,January,January 2001,Gabrielle Reece,Irina Voronina,Gary Johnson,,verified
2001,February,February 2001,Anna Nicole Smith,Lauren Michelle Hill,Vince McMahon,,verified
2001,March,March 2001,Kylie Bax,Miriam Gonzalez,Bobby Knight,,verified
2001,April,April 2001,Irina Voronina,Katie Lohmann,Metallica,,verified
2001,May,May 2001,Brooke Burke,Crista Nicole,Tom Green,,verified
2001,June,June 2001,Brande Roderick,Heather Spytek,Charlie Sheen,,verified
2001,July,July 2001,Pamela Anderson,Kimberley Stanfield,Chris Matthews,,verified
2001,August,August 2001,Belinda Carlisle,Jennifer Walcott,Tim Burton,,verified
2001,September,September 2001,Jerri Manthey,Dalene Kurtis,Dale Earnhardt Jr.,,verified
2001,October,October 2001,"Julia Schultz, Stephanie Heinrich, Nicole Lenz",Stephanie Heinrich,Cast of The West Wing,,verified
2001,November,November 2001,Angelica Bridges,Lindsey Vuolo,The Coen Brothers,,verified
2001,December,December 2001,Gena Lee Nolin,Shanna Moakler,Will Smith,,verified
2002,January,January 2002,Chyna,Nicole Narain,Brit Hume,,verified
2002,February,February 2002,Dedee Pfeiffer,Anka Romensky,Gary Hart,,verified
2002,March,March 2002,"Kira Kener, Dasha, Tera Patrick",Tina Jordan,Allen Iverson,,verified
2002,April,April 2002,Tiffany,Heather Carolin,Lennox Lewis,,verified
2002,May,May 2002,Kiana Tom,Christi Shake,Bill O'Reilly,,verified
2002,June,June 2002,Dalene Kurtis,Michele Rogers,Curt Schilling,,verified
2002,July,July 2002,"Shallan Meiers, Christina Santiago, Lauren Anderson",Lauren Anderson,Fred Durst,,verified
2002,August,August 2002,Christine Nielsen,Christina Santiago,Harrison Ford,,verified
2002,September,September 2002,Jordan,Shallan Meiers,Larry Ellison,,verified
2002,October,October 2002,Teri Marie Harrison,Teri Harrison,Al Michaels,,verified
2002,November,November 2002,Kristy Swanson,Serria Tawan,Willie Nelson,,verified
2002,December,December 2002,Dita Von Teese,Lani Todd,Denzel Washington,,verified
2003,January,January 2003,Tia Carrere,Rebecca Ramos,Halle Berry,,verified
2003,February,February 2003,Alison Eastwood,Charis Boyle,Jimmy Kimmel,,verified
2003,March,March 2003,Dorismar,Pennelope Jimenez,Colin Farrell,,verified
2003,April,April 2003,Carmen Electra,Carmella DeCesare,Jay-Z,,verified
2003,May,May 2003,Torrie Wilson,Laurie Fetter,Billy Bob Thornton,,verified
2003,June,June 2003,Sarah Kozer,Tailor James,Mike Piazza,,verified
2003,July,July 2003,Nikki Ziering,Marketa Janska,Lisa Marie Presley,,verified
2003,August,August 2003,"Jenna Morasca, Heidi Strobel",Colleen Marie,Tobey Maguire,,verified
2003,September,September 2003,Signe Nordli,Luci Victoria,Jon Gruden,,verified
2003,October,October 2003,Lauren Hill,Audra Lynn,O.J. Simpson,,verified
2003,November,November 2003,Daryl Hannah,Divini Rae,Quentin Tarantino,,verified
2003,December,December 2003,Shannen Doherty,Deisy Teles & Sarah Teles,John Cusack,,verified
2004,January,January 2004,50th Anniversary Issue,Colleen Shannon,Jack Nicholson,,verified
2004,February,February 2004,Jaime Pressly,Aliya Wolf,Kiefer Sutherland,,verified
2004,March,March 2004,"Sable, Torrie Wilson",Sandra Hubby,Jim Carrey,,verified
2004,April,April 2004,Rachel Hunter,Krista Kelly,50 Cent,,verified
2004,May,May 2004,Pamela Anderson,Nicole Whitehead,Johnny Depp,,verified
2004,June,June 2004,Charisma Carpenter,Hiromi Oshima,Derek Jeter,,verified
2004,July,July 2004,Peta Wilson,Stephanie Glasson,Michael Moore,,verified
2004,August,August 2004,Eva Herzigova,Pilar Lastra,Matt Damon,,verified
2004,September,September 2004,Amy Acuff,Scarlett Keegan,Google Guys,,verified
2004,October,October 2004,Evelyn Gery,Kimberly Holland,Donald Trump,,verified
2004,November,November 2004,Brooke Burke,Cara Zavaleta,Oliver Stone,,verified
2004,December,December 2004,Denise Richards,Tiffany Fallon,Bernie Mac,,verified
2005,January,January 2005,Jenny McCarthy,Destiny Davis,Toby Keith,,verified
2005,February,February 2005,Teri Polo,Amber Campisi,Nicole Kidman,,verified
2005,March,March 2005,Paris Hilton,Jillian Grace,The Rock,,verified
2005,April,April 2005,Christy Hemme,Courtney Rachel Culkin,Les Moonves,,verified
2005,May,May 2005,Michelle Baena,Jamie Westenhiser,James Spader,,verified
2005,June,June 2005,Bai Ling,Kara Monaco,Lance Armstrong,,verified
2005,July,July 2005,Joanna Krupa,Qiana Chase,Owen Wilson,,verified
2005,August,August 2005,Diora Baird,Tamara Witmer,Ewan McGregor,,verified
2005,September,September 2005,Jessica Canseco,Vanessa Hoelsher,Thomas L. Friedman,,verified
2005,October,October 2005,Sara Jean Underwood,Amanda Paige,George Carlin,,verified
2005,November,November 2005,"Holly Madison, Bridget Marquardt & Kendra Wilkinson",Raquel Gibson,Jamie Foxx,,verified
2005,December,December 2005,Marilyn Monroe,Christine Smith,Pierce Brosnan,,verified
2006,January,January 2006,Lisa Guerrero,Athena Lundberg,Mark Cuban,,verified
2006,February,February 2006,Adrianne Curry,Cassandra Lynn,Al Franken,,verified
2006,March,March 2006,Jessica Alba,Monica Leigh,Kanye West,,verified
2006,April,April 2006,Candice Michelle,Holley Ann Dorrough,Keanu Reeves,,verified
2006,May,May 2006,Alison Waite,Alison Waite,Ozzie Guillen,,verified
2006,June,June 2006,Kara Monaco,Stephanie Larimore,Shepard Smith,,verified
2006,July,July 2006,Vida Guerra,Sara Jean Underwood,Jerry Bruckheimer,,verified
2006,August,August 2006,Monica Leigh,Nicole Voss,Denis Leary,,verified
2006,September,September 2006,"Kendra Wilkinson, Holly Madison & Bridget Marquardt",Janine Habeck,Michael Brown,,verified
2006,October,October 2006,Tamara Witmer,Jordan Monroe,Ludacris,,verified
2006,November,November 2006,Mercedes McNab,Sarah Elizabeth,Arianna Huffington,,verified
2006,December,December 2006,Cindy Margolis,Kia Drayton,Dixie Chicks,,verified
2007,January,January 2007,Pamela Anderson,Jayde Nicole,T. Boone Pickens,,verified
2007,February,February 2007,Tricia Helfer,Heather Rene Smith,Simon Cowell,,verified
2007,March,March 2007,Mariah Carey,Tyran Richard,Jeremy Piven,,verified
2007,April,April 2007,Ashley Massaro,Giuliana Marino,Bill Maher,,verified
2007,May,May 2007,Anna Nicole Smith,Shannon James,Steve Nash,,verified
2007,June,June 2007,Kristine Lefebvre,Brittany Binger,Matt Groening,,verified
2007,July,July 2007,Amanda Beard,Tiffany Selby,Bruce Willis,,verified
2007,August,August 2007,Garcelle Beauvais,Tamara Sky,Chris Tucker,,verified
2007,September,September 2007,Amanda Paige,Patrice Hollis,Clive Owen,,verified
2007,October,October 2007,Giuliana Marino,Spencer Scott,Keith Olbermann,,verified
2007,November,November 2007,Lindsey Roeper,Lindsay Wagner,Robert Redford,,verified
2007,December,December 2007,Kim Kardashian,Sasckya Porto,Bill Richardson,,verified
2008,January,January 2008,Adrianne Curry,Sandra Nilsson,Tina Fey,,verified
2008,February,February 2008,Tiffany Fallon,Michelle McLaughlin,Matthew McConaughey,,verified
2008,March,March 2008,"Kendra Wilkinson, Holly Madison & Bridget Marquardt",Ida Ljungqvist,Garry Kasparov,,verified
2008,April,April 2008,Maria Kanellis,Regina Deutinger,Chad Kroeger,,verified
2008,May,May 2008,Olga Kurbatova,AJ Alexander,Fareed Zakaria,,verified
2008,June,June 2008,Jayde Nicole,Juliette Fretté,Steve Carell,,verified
2008,July,July 2008,Cindy Margolis,Laura Croft,Drew Pinsky,,verified
2008,August,August 2008,Ashley Harkleroad,Kayla Collins,Ben Stiller,,verified
